|!!| Eesti suurimad saared (2015 seisuga):

Saar 	Pindala (km²) 	Elanikke (aasta)
Saaremaa 	2683,25 	31304 (2017)
Hiiumaa 	1018,49 	8995 (2017)
Muhu 	204,86 	1476 (2011)
Vormsi 	93,34 	415 (2011)
Naissaar 	18,93 	3 (2011)
Kihnu 	17,1 	487 (2011)
Väike-Pakri 	13,5 	5 (2017)
Suur-Pakri 	12,68 	0
Ruhnu 	11,87 	55 (2011)
Vilsandi 	9,39 	22 (2017)
Abruka 	9,28 	16 (2011)
Piirissaar 	7,5 	53 (2011)
Prangli 	6,61 	169 (2017)
Osmussaar 	4,87 	6 (2011)
Vohilaid 	4,48 	0
Tauksi 	3,66 	0
Aegna 	3,01 	11 (2017)
Kõinastu laid 	2,66 	1 (2017)
Väike-Tulpe 	2,08 	
Manilaid 	2,06 	52 (2017)
Kesselaid 	1,75 	4 (2017)
Heinlaid 	1,49 	6 (2019)
Saarnaki laid 	1,43 	0
Liialaid 	1,31 	0
Kaevatsi laid 	1,25 	0
Loonalaid 	1,22 	
Rammu saar 	1,12 	0 (2011)
Kõrksaar 	0,91 	
Pedassaar 	0,9 	0
